NTA,avg_total_savings,tot_jobs_created,num_businesses
Astoria,11409.98666666667,0.0,3
Baisley Park,21522.74,0.0,1
Battery Park City-Lower Manhattan,469890.79666666663,0.0,9
Bedford,62113.34333333333,0.0,3
Bensonhurst West,-379.47,0.0,1
Borough Park,15107.27,0.0,1
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,483.61,0.0,1
Brooklyn Heights-Cobble Hill,8639.303333333333,0.0,3
Brownsville,-35782.46666666667,0.0,3
Bushwick South,26140.454999999998,10.0,10
Canarsie,22550.86,0.0,1
Carroll Gardens-Columbia Street-Red Hook,24337.39,0.0,11
Central Harlem North-Polo Grounds,40326.48,0.0,1
Central Harlem South,20949.57,0.0,1
Claremont-Bathgate,48124.58,0.0,1
Clinton Hill,22152.39,0.0,1
Co-op City,6108.73,0.0,1
College Point,17159.37285714286,2.0,7
Corona,22228.85,0.0,2
Crown Heights North,4036.298888888889,0.0,9
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,59950.340000000004,0.0,10
East Flatbush-Farragut,43276.46,0.0,1
East Harlem North,11212.470000000001,0.0,3
East New York,48433.09333333333,15.0,9
East New York (Pennsylvania Ave),13415.949999999999,0.0,3
East Tremont,5047.19,0.0,1
East Williamsburg,13990.626363636366,0.0,11
Eastchester-Edenwald-Baychester,14602.1,0.0,1
Elmhurst-Maspeth,18360.97,0.0,1
Flatlands,1014.91,0.0,1
Flushing,12882.696666666669,0.0,3
Forest Hills,7324.68,0.0,1
Glendale,4338.885,0.0,2
Greenpoint,9753.649285714286,0.0,14
Highbridge,14935.21,0.0,1
Hudson Yards-Chelsea-Flatiron-Union Square,13816.475,0.0,4
Hunters Point-Sunnyside-West Maspeth,23931.398933333334,0.0,75
Hunts Point,39246.016153846154,12.0,13
Jamaica,7988.0650000000005,0.0,2
Laurelton,172404.21,0.0,1
Manhattanville,2760.8888888888887,0.0,9
Mariner's Harbor-Arlington-Port Ivory-Graniteville,127977.98666666668,0.0,3
Maspeth,6658.283333333333,10.0,9
Midtown-Midtown South,36324.27,0.0,2
Midwood,326512.37333333335,0.0,3
Morrisania-Melrose,3131.51,0.0,1
Mott Haven-Port Morris,17843.937857142857,10.0,14
Murray Hill-Kips Bay,4840.28,0.0,1
New Springville-Bloomfield-Travis,283173.4733333333,0.0,3
North Side-South Side,24483.37,0.0,1
Norwood,321001.18,0.0,2
Ocean Hill,1203.13,0.0,1
Ocean Parkway South,24833.85,0.0,1
Old Astoria,280.84,0.0,1
Ozone Park,4317.745,0.0,2
Park Slope-Gowanus,29368.325,0.0,4
Port Richmond,8226.03,0.0,1
Prospect Lefferts Gardens-Wingate,13051.03,0.0,1
Queens Village,4480.13,0.0,1
Queensbridge-Ravenswood-Long Island City,61830.770625,0.0,16
Richmond Hill,14175.57,0.0,2
Ridgewood,12641.289999999999,0.0,3
Rossville-Woodrow,7385.71,0.0,1
Rugby-Remsen Village,474.68,0.0,1
Seagate-Coney Island,37985.16,0.0,1
SoHo-TriBeCa-Civic Center-Little Italy,37214.024,0.0,5
Soundview-Castle Hill-Clason Point-Harding Park,13539.12,0.0,1
Springfield Gardens South-Brookville,17757.662,0.0,5
St. Albans,27251.12,0.0,2
Steinway,11227.155714285715,20.0,7
Sunset Park West,14316.976875,0.0,48
Van Nest-Morris Park-Westchester Square,267012.595,0.0,4
Washington Heights South,1688.25,0.0,1
Westchester-Unionport,12850.79,0.0,2
Whitestone,62038.306666666664,10.0,3
Williamsburg,23570.08,0.0,1
Windsor Terrace,78573.32,0.0,1
Woodside,5625.736666666667,0.0,3
park-cemetery-etc-Brooklyn,14327.419333333333,0.0,15
